French,POS,English1,English2
fil électrique,nm,electrical wire,
bijoux,nmpl,jewelry,
fidèle,adj,loyal,
découper,v,to cut,
bandeau,nm,headband,
démodé,adj,unfashionable,
modèle,nf,design,
déménager,v,to move homes,
au fil du temps,loc adv,over time,
s'habituer à ,v,to get used to,
au début,v,in the beginning,
frustrant,adj,frustrating,
familier,adj,familiar,
rempli de,adj [prep],filled with,
régulièrement,adv,regularly,
arnaque,nf,rip-off,
longtemps,adv,long,
légèrement,adv,slightly,
lisse,adj,smooth,
assurez-vous,v [reflex],make sure,
peler,v,to peel,
rincer,v,to rinse,
simplement,adv,simply,
sécher,verb,to dry,
fin,adj,thin,
linge,nm,cloth,
casserole,nf,saucepan,
queue,nf,stalk,
thym,nm,thyme,
sauvage,adj,wild,
mijoter,v,to simmer,
environ,adj,approximately,
refroidir,v,to cool down,
pouvoir,nm,authority,power
débarrasser,v,to get rid of,
exploiter,v,to exploit,
persécuter,v,to persecute,
à travers,prep,through,
secrète,adj,secret,
se battre pour,v,to fight for,
en tant que,prep,in the capacity of,as
ambassadeur,n,ambassador,
surtout,adv,especially,
posséder,v,to own,
forcer,v,to compel,
même,adv,even,
de nos jours,adv,nowadays,
programme,nm,schedule,
récapituler,v,to go over,to recap
aller chercher,v,to pick up in a car,
au plus tard,adv,at the latest,
prévenir,v,to let know,
livrer,v,to deliver,
essayer,v,to try,
deviner,v,to guess,
tandis que,conj,whereas,
précédent,adj,previous,
cuisine,n,kitchen,
j'ai tellement hâte,phrase + de,I can't wait,
avoir du mal à,v,to struggle with,
déposer,v,to drop off,
d'ailleurs,adv,for that matter,
plutôt,adv,instead,
allocation,nf,allowance,
auparavant,adv,formerly,
aise,nf,pleasure,
quoi que,pron,whatever,
coin,nm,corner,area
hurler,v,to yell,
taper,v,to hit,to bang
se soigner,v,to be treated,
réagir,v,to react,
mépris,nm,contempt,
souci,nm,worry,
montrer,v,to show,
fouetter,v,to whip,
âme,nf,soul,
appartenir,v,belong to,
sagesse,nf,wisdom,
berceau,nm,cradle,
lâche,nmf,coward,
salaud,nm,bastard,
cornu,adj,horned,
rougir,v,to blush,
broncher,v,to flinch,
ongle,nm,fingernail,
rugir,v,to roar,
cerf,nm,deer,
sieste,nf,nap,
bec,nm,beak,
jasser,v,to babble,to gossip
puer,v,to stink,
gueux,nm,beggar,
gueuse,nf,beggar,
mendier,v,to beg,
chérir,v,to cherish,
capot,nm,car hood,
chemin,nm,path,way
ingrat,adj,ungrateful,
essieu,nm,axle,
roue,nf,wheel,
unir,v,to unite,
clouer,v,to nail,
lié,adj,linked,related
épine,nf,thorn,
doué en,adj + prep,good at,talented
afin de,prep,in order to,
déceler,v,to detect,
diriger,v,to lead,to manage
à propos de,prep,concerning,about
clivant,adj,divisive,
débrouillardise,nf,improvisation,adaptability
règle,nf,rule,
étonnant,adj,astonishing,amazing
exiger,v,to require,to demand
autant (de)… que ,adv,just as much as,just as many as
réfectoire,nm,canteen,
rang,nm,row,
se débrouiller,v,to sort out,
se rappeler,v,to remind,to remember
tout a coup,adv,suddenly,
trottoir,nm,sidewalk,
flâner,v,to walk slowly,to wander
poursuivre,v,to continue,to carry on
quoique,conj (subj),although,
bien que,conj (subj),although,
pour que,conj (subj),so that,
afin que,conj (subj),so that,
de sorte que,conj (subj),so that,
pourvu que,conj (subj),hoping that,
malgré que,conj (subj),despite,
autant que,conj (subj),it's probably best that,
sans que,conj (subj),without realizing,
avant que + (ne),conj (subj),before,
de crainte que + (ne),conj (subj),for fear of,
de peur que + (ne),conj (subj),for fear of,
ainsi,adv,like this,
ainsi que,conj,just as ,
éviter,v,to avoid,to remove
avoir honte de,v,to be ashamed of,
se plaindre de,v,to complaine about,
réussir,v,to succeed,
propre,adj,own,
fâcher,v,to anger,to enrage
emprunter,v,to borrow,
